row_index,reason,original_src,original_dst
170,dst_unresolved:AOS|ID:7167.0,ADQ,AOS
171,dst_unresolved:KKB|ID:7168.0,ADQ,KKB
173,dst_unresolved:KOZ|ID:7164.0,ADQ,KOZ
174,dst_unresolved:OLH|ID:7163.0,ADQ,OLH
175,src_unresolved:AOS|ID:7167.0;dst_unresolved:KZB|ID:7176.0,AOS,KZB
176,src_unresolved:KKB|ID:7168.0;dst_unresolved:SYB|ID:7173.0,KKB,SYB
178,src_unresolved:KOZ|ID:7164.0;dst_unresolved:ORI|ID:7165.0,KOZ,ORI
179,src_unresolved:SYB|ID:7173.0;dst_unresolved:KPR|ID:7172.0,SYB,KPR
270,src_unresolved:CGA|ID:7144.0;dst_unresolved:HYL|ID:7145.0,CGA,HYL
271,src_unresolved:CGA|ID:7144.0,CGA,KTN
272,src_unresolved:HYL|ID:7145.0;dst_unresolved:CGA|ID:7144.0,HYL,CGA
273,src_unresolved:HYL|ID:7145.0;dst_unresolved:KTB|ID:7147.0,HYL,KTB
274,src_unresolved:HYL|ID:7145.0,HYL,KTN
275,src_unresolved:KTB|ID:7147.0;dst_unresolved:HYL|ID:7145.0,KTB,HYL
276,src_unresolved:KTB|ID:7147.0,KTB,KTN
277,dst_unresolved:CGA|ID:7144.0,KTN,CGA
278,dst_unresolved:HYL|ID:7145.0,KTN,HYL
279,dst_unresolved:KTB|ID:7147.0,KTN,KTB
861,src_unresolved:NTG|ID:5475.0,NTG,WUH
919,src_unresolved:TVS|ID:8858.0,TVS,TYN
925,dst_unresolved:TVS|ID:8858.0,TYN,TVS
942,dst_unresolved:NTG|ID:5475.0,WUH,NTG
1001,dst_unresolved:TCT|ID:7215.0,MCG,TCT
1003,src_unresolved:TCT|ID:7215.0,TCT,TLJ
1694,dst_unresolved:CXF|ID:7119.0,BTT,CXF
1698,src_unresolved:CXF|ID:7119.0,CXF,AKP
1704,dst_unresolved:RMP|ID:7112.0,FAI,RMP
1705,dst_unresolved:SVS|ID:9741.0,FAI,SVS
1706,dst_unresolved:TAL|ID:7113.0,FAI,TAL
1711,dst_unresolved:MNT|ID:7110.0,MLY,MNT
1712,src_unresolved:MNT|ID:7110.0,MNT,FAI
1713,src_unresolved:RMP|ID:7112.0,RMP,FAI
1714,src_unresolved:SVS|ID:9741.0,SVS,FAI
1715,src_unresolved:SVS|ID:9741.0,SVS,WBQ
1716,src_unresolved:TAL|ID:7113.0,TAL,FAI
1718,dst_unresolved:SVS|ID:9741.0,WBQ,SVS
1719,dst_unresolved:TLT|ID:7218.0,AKI,TLT
1720,src_unresolved:ATT|ID:4385.0,ATT,KUK
1721,dst_unresolved:ATT|ID:4385.0,BET,ATT
1723,dst_unresolved:GNU|ID:8202.0,BET,GNU
1730,dst_unresolved:WTL|ID:7099.0,BET,WTL
1734,src_unresolved:GNU|ID:8202.0,GNU,PTU
1736,src_unresolved:KKI|ID:9742.0,KKI,AKI
1738,dst_unresolved:NUP|ID:7212.0,KUK,NUP
1742,dst_unresolved:KKI|ID:9742.0,KWT,KKI
1743,dst_unresolved:PQS|ID:7216.0,MLL,PQS
1745,src_unresolved:NUP|ID:7212.0,NUP,BET
1746,dst_unresolved:TNK|ID:8201.0,OOK,TNK
1748,src_unresolved:PQS|ID:7216.0,PQS,BET
1750,src_unresolved:TLT|ID:7218.0,TLT,BET
1751,src_unresolved:TNK|ID:8201.0;dst_unresolved:WWT|ID:8203.0,TNK,WWT
1753,src_unresolved:WTL|ID:7099.0,WTL,KKH
1754,src_unresolved:WWT|ID:8203.0,WWT,BET
2109,src_unresolved:ELL|ID:8492.0,ELL,JNB
2110,dst_unresolved:ELL|ID:8492.0,JNB,ELL
2552,dst_unresolved:KKI|ID:9742.0,AKI,KKI
2553,dst_unresolved:TLT|ID:7218.0,AKI,TLT
2571,dst_unresolved:KGX|ID:7219.0,ANV,KGX
2574,src_unresolved:ATT|ID:4385.0,ATT,BET
2576,dst_unresolved:SXP|ID:7200.0,AUK,SXP
